Dataset,Algorithm,Initial Error,Optimization Runtime,Optimizer Iterations,Post Optimization Error
input_data/10kHog-man,original,3440446.7798045767,1.90411376953125,4,85797.38581861428
input_data/10kHog-man,MASAT,218974.19838906187,1.633185863494873,4,85797.3898491048
input_data/10kHog-man,weighted_MASAT,218974.19838906187,1.850390911102295,4,85797.3898491048
input_data/city10k,original,16367858805.411179,4.262627840042114,4,299472801.4413395
input_data/city10k,MASAT,418427.35080390266,0.8748152256011963,3,15966.001842336957
input_data/city10k,weighted_MASAT,418427.35080390266,0.8755590915679932,3,15966.001842336957
input_data/FR079_P,original,4251.386831814062,0.2353522777557373,4,18.800903082919344
input_data/FR079_P,MASAT,2068.0005750369814,0.09371495246887207,2,18.8005385005017
input_data/FR079_P,weighted_MASAT,2068.0005750369814,0.10336542129516602,2,18.8005385005017
input_data/FRH_P,original,0.3409770341416569,0.055943965911865234,2,9.656840537786504e-05
input_data/FRH_P,MASAT,0.02829159521686932,0.08804821968078613,2,9.656842064232993e-05
input_data/FRH_P,weighted_MASAT,0.02829159521686932,0.08754587173461914,2,9.656842064232993e-05
