Dataset,Algorithm,Initial Error,Optimization Runtime,Optimizer Iterations,Post Optimization Error
input_data/grid3D,original,95280764.18454051,1823.3102643489838,100,357569.492642214
input_data/grid3D,MASAT,774453.1234814258,36.238165855407715,4,42186.25070513034
input_data/grid3D,weighted_MASAT,774453.1234814258,33.84303665161133,4,42186.25070513034
input_data/input_M3500,original,0.0,5.4836273193359375e-06,0,0.0
input_data/input_M3500,MASAT,0.0,6.4373016357421875e-06,0,0.0
input_data/input_M3500,weighted_MASAT,0.0,7.3909759521484375e-06,0,0.0
input_data/INTEL_P,original,0.0,6.198883056640625e-06,0,0.0
input_data/INTEL_P,MASAT,0.0,6.67572021484375e-06,0,0.0
input_data/INTEL_P,weighted_MASAT,0.0,6.9141387939453125e-06,0,0.0
input_data/killian-court,original,0.0,6.4373016357421875e-06,0,0.0
input_data/parking-garage,original,8363.601948120006,0.18525075912475586,4,0.6341926463257627
input_data/parking-garage,MASAT,6.707093651022604,0.18600821495056152,4,0.6341926461112429
input_data/parking-garage,weighted_MASAT,6.707093651022604,0.21551251411437988,4,0.6341926461112429
